,title,description,originallink,link,pubDate
0,보험사기 적발만 1조원...'숨은 공신' AI 있었네,삼성생명과 신한라이프는 자체적으로 개발한 '웹 크롤링'(여러 웹페이지를 돌아다니며 데이터를 수집하는... 해당 시스템으로 인해 고객의 심사 대기 시간이 대폭 감소하게 됐고 보험심사 담당 직원들의 업무도... ,https://www.dailyimpact.co.kr/news/articleView.html?idxno=82132,https://www.dailyimpact.co.kr/news/articleView.html?idxno=82132,"Thu, 14 Jul 2022 14:40:00 +0900"
1,신인 개발팀 스우미가 '음성인식 스펠체크 앱'을 만든 사연,"그 외에는 크롤링이라고 다른 사이트를 긁은 뒤, 해당 데이터를 저희만의 색깔로 수집하는 역할도... 그 외에는 대기방이나 게임 화면에서 시간을 재는 컴포넌트를 만들기도 했습니다. A. 한대건: 스우미에서 백엔드 개발을... ",https://www.thisisgame.com/webzine/special/nboard/5/?n=135773,https://sports.news.naver.com/news.nhn?oid=439&aid=0000023039,"Fri, 29 Oct 2021 14:35:00 +0900"
2,"[인터뷰] 데달릭, ""10개 이상의 한국어 지원 게임 장전""","던전 크롤링 게임도 있으며, 중세 그림에서 영감을 받은 전략 게임 'Inkulinati', 2D 공포 액션 게임인 '히든 딥', 상점 운영 게임인 '포션 타이쿤' 등 많은 장르의 게임 라인업이 대기 중이다. Q. 어느 게임사들이나 회사를... ",https://www.inven.co.kr/webzine/news/?news=263579,https://sports.news.naver.com/news.nhn?oid=442&aid=0000141422,"Thu, 14 Oct 2021 13:46:00 +0900"
3,코로나19 인포데믹 진원지 따로 있었다,올해 상반기 코로나19 1차 대유행 당시의 기간 동안 유튜브에 게재된 영상을 크롤링 방법을 통해 수집해... 중앙방역대책본부에서 설명을 들을 담당자는 계속 통화 대기 중이었다. “현재 상황에서는 지나치게... ,http://www.kukinews.com/newsView/kuk202012170030,http://www.kukinews.com/newsView/kuk202012170030,"Thu, 17 Dec 2020 07:31:00 +0900"
4,"“의류쇼핑, 더 이상 헷갈리지 마세요. 스쇼가 책임집니다!” 스와이프 쇼핑플...","특히 패션에 있어서 데이터 및 AI기반의 디지털 트랜스포메이션이 필요하다고 강조되지만 대기업을... 상품을 크롤링하여 수익없이 광고판 역할만 하고 있는 상태로 시작하고, 추후 트래픽을 확인하고 데이터를 바탕으로... ",http://www.sportsseoul.com/news/read/979874?ref=naver,https://n.news.naver.com/mnews/article/468/0000714608?sid=103,"Wed, 11 Nov 2020 14:49:00 +0900"
5,"""뒤쿵·공격수"" 잡는 보험업계…AI 서비스 다각화","인터넷 카페, 블로그 등에서 특정 키워드를 수집하고 분석할 수 있는 '웹크롤링(Web-Crawling) 기법'을... 고객은 대기 시간 없이 신속하게 업무처리가 가능해졌다. 보험업계 관계자는 ""신종 코로나바이러스 감염증... ",http://www.kpinews.co.kr/news/articleView.html?idxno=129329,http://www.kpinews.co.kr/news/articleView.html?idxno=129329,"Wed, 28 Oct 2020 05:15:00 +0900"
6,"라바웨이브, 디지털성범죄 '2차 피해' 막는 삭제서비스 소개","라바웨이브는 크롤링(소프트웨어 등이 웹을 돌아다니면서 유용한 정보를 찾아 특정 데이터베이스로... 또 긴급한 대응이 필요한 피해자들을 위해 IT보안전문가, 상담전문가들로 구성된 상담팀이 24시간 대기 중이다.... ",https://news.mtn.co.kr/newscenter/news_viewer.mtn?gidx=2020072212383468012,https://news.mtn.co.kr/newscenter/news_viewer.mtn?gidx=2020072212383468012,"Wed, 22 Jul 2020 13:38:00 +0900"
7,"이패스코리아, 데이터분석가 위한 `파이썬 코딩 Master Course` 신규 과정 개...","해양대기청(NOAA) 등 연구기관 및 산업계에서 다양하게 사용되고 있는 중이다. 이패스코리아의 파이썬... 판다스, 크롤링으로 구성된 중급 두 가지 과정으로 구성됐다. 이어 올 해 하반기에는 인공지능을 위한... ",http://www.dt.co.kr/contents.html?article_no=2020040602109919053002&ref=naver,https://n.news.naver.com/mnews/article/029/0002592311?sid=105,"Mon, 06 Apr 2020 11:10:00 +0900"
8,[22일 조달청 입찰정보/종합] 고리울동굴시장 공영주차장 조성공사 폐기물처리...,"▲ 입찰명 : ""지역자원연계 웹 크롤링 위탁운영(재공고)"", 계약방법 : 제한(총액)규격가격동시. 공고기관... ▲ 입찰명 : ""2020년 호남화력 대기분야 자가측정 용역"", 계약방법 : 제한(총액). 공고기관... ",http://www.fintechpost.co.kr/news/articleView.html?idxno=95841,http://www.fintechpost.co.kr/news/articleView.html?idxno=95841,"Sun, 22 Dec 2019 00:06:00 +0900"
9,[교육소식]강원교육청 교육부장관 표창 수상 등,"1차 교육과정에는 43명이 참여해 9월부터 2개월간 파이썬, 웹 크롤링, 아두이노 등 교육과정을 이수했다. 2차... 한림대는 지역의 환경개선을 위해 대기, 수질 등 환경실태를 파악하고 환경보전을 위해 검사, 측정, 실험... ",http://www.newsis.com/view/?id=NISX20191219_0000866240&cID=10899&pID=10800,https://n.news.naver.com/mnews/article/003/0009617133?sid=102,"Fri, 20 Dec 2019 04:37:00 +0900"
