,title,description,originallink,link,pubDate
0,"하이크비전, SK네트웍스서비스와 SI 총판계약 체결","타이 하이크비전코리아 사장은 &quot;하이크비전은 기계인식, 다차원인식, 인공지능 및 <b>빅데이터</b>의 첨단 기술을 통해 다양한 산업 분야에 서비스를 제공하고 있다&quot;며 &quot;SI 총판 플랫폼으로서의 역할을 강화하고... ",https://www.itbiznews.com/news/articleView.html?idxno=74982,https://www.itbiznews.com/news/articleView.html?idxno=74982,"Thu, 18 Aug 2022 10:16:00 +0900"
1,"초등 진단평가, 모든 교과서 대비 가능한 천재교육 ‘우등생 시리즈’","천재교육 우등생 시리즈는 국어, 수학, 사회, 과학의 4과목으로 구성되어 있으며, 세트 구매 시 특별 부록으로 ‘<b>빅데이터</b> 시크릿 북’과 ‘과목별 단원평가 문제집’이 제공된다. ‘<b>빅데이터</b> 시크릿 북’은 꼭 알아야 할... ",http://edu.donga.com/?p=article&ps=view&at_no=20220817173621147441,http://edu.donga.com/?p=article&ps=view&at_no=20220817173621147441,"Thu, 18 Aug 2022 10:16:00 +0900"
2,"식약처, &apos;혁신의료기기 전문인력 양성&apos; 교육 실시","이번 교육은 <b>빅데이터</b>·인공지능 기반 소프트웨어, 디지털치료기기, 수술 로봇, 3D 프린팅 기반 의료기기... 오는 31일부터 시작하는 <b>빅데이터</b>·인공지능 기반 소프트웨어 과정 참여 희망자는 22~26일까지... ",http://www.babytimes.co.kr/news/articleView.html?idxno=59773,http://www.babytimes.co.kr/news/articleView.html?idxno=59773,"Thu, 18 Aug 2022 10:16:00 +0900"
3,"윤아, 끌린다…&apos;빅마우스&apos; #민폐無 #연기 스펙트럼 #명불허전 비주얼","임윤아의 열연에 힘입어 ‘빅마우스’는 6회 만에 전국, 수도권 시청률이 10.8%를 돌파했으며, TV 화제성 분석기관 굿<b>데이터</b>코퍼레이션에 따르면 83.73%의 점유율로 금토드라마 부문 TV화제성 3주 연속 1위를 차지하는 등 많은... ",http://www.mydaily.co.kr/new_yk/html/read.php?newsid=202208180939411650&ext=na&utm_campaign=naver_news&utm_source=naver&utm_medium=related_news,https://n.news.naver.com/mnews/article/117/0003636755?sid=106,"Thu, 18 Aug 2022 10:15:00 +0900"
4,"SK㈜·SK에너지, 2천억 투자 미국 에너지솔루션 기업 인수","아톰파워의 회로차단기는 전력 사용량, 태양광 발전량, 전기차 충전량, 에너지저장장치(ESS) 충·방전량 등 다양한 데이터를 수집한다. 회로차단기가 모은 전력 <b>빅데이터</b>는 각 가구뿐 아니라 지역 단위의 전력 발전... ",https://www.nocutnews.co.kr/news/5803602,https://n.news.naver.com/mnews/article/079/0003675890?sid=101,"Thu, 18 Aug 2022 10:14:00 +0900"
5,"SK㈜ C&amp;C, 일상 속 지능형 건강관리 플랫폼 &apos;킵웰&apos; 출시",SK㈜ C&amp;C는 <b>데이터</b> 기반 사용자 맞춤형 웰니스 건강관리 플랫폼 ‘킵웰’을 출시했다고 18일 밝혔다. ‘킵웰’은 SK㈜ C&amp;C가 운영 중인 클라우드 온 클라우드형 AI<b>데이터</b> 플랫폼을 활용한 지능형 건강관리 서비스다.... ,http://www.mediapen.com/news/view/747352,http://www.mediapen.com/news/view/747352,"Thu, 18 Aug 2022 10:14:00 +0900"
6,"KT, 초등 라이브 교육 플랫폼 ‘크루디’ 출시",KT(대표 구현모)는 ABC(AI·<b>빅데이터</b>·클라우드) 기술 기반 초등생 대상의 라이브 교육 서비스 ‘크루디(Crewdy)’를 선보인다고 18일 밝혔다. 크루디는 그룹을 의미하는 ‘크루(crew)’와 학습을 의미하는 ‘스터디(study)’를... ,https://www.ddaily.co.kr/news/article.html?no=244772,https://n.news.naver.com/mnews/article/138/0002130943?sid=105,"Thu, 18 Aug 2022 10:13:00 +0900"
7,"식음료, MZ세대 즐기는 저가형 브랜드 줄줄이 가격인상",데이터앤리서치는 지난 4월 1일부터 6월 30일까지와 지난해 같은 기간의 국내 주요 8개 커피전문점의 온라인 정보량을 <b>빅데이터</b> 분석했다. 뉴스·커뮤니티·카페·유튜브·블로그·트위터·인스타그램·페이스북... ,https://www.fetv.co.kr/news/article.html?no=122467,https://www.fetv.co.kr/news/article.html?no=122467,"Thu, 18 Aug 2022 10:12:00 +0900"
8,"SK(주)-SK에너지, 美 에너지솔루션 전문기업 &apos;아톰 파워&apos; 인수","사용 <b>데이터</b>를 측정하고 수집하는 역할도 한다. 아톰파워가 자체 개발한 전류센서와 소프트웨어 덕분이다. 아톰파워의 회로차단기가 수집하는 <b>데이터</b>는 전력 사용량, 태양광 발전량, 전기차 충전량, 에너지 저장장치... ",http://www.autodaily.co.kr/news/articleView.html?idxno=436098,http://www.autodaily.co.kr/news/articleView.html?idxno=436098,"Thu, 18 Aug 2022 10:12:00 +0900"
9,"SK-SK에너지, 美 에너지솔루션 전문기업 ‘아톰파워’ 인수","사용 <b>데이터</b>를 측정하고 수집하는 역할도 한다. 아톰파워가 자체 개발한 전류센서와 소프트웨어 덕분이다.아톰파워의 회로차단기가 수집하는 <b>데이터</b>는 전력 사용량, 태양광 발전량, 전기차 충전량, 에너지 저장장치... ",http://www.sentv.co.kr/news/view/627938,http://www.sentv.co.kr/news/view/627938,"Thu, 18 Aug 2022 10:12:00 +0900"
