,title,description,originallink,link
0,"서울시, &apos;<b>빅데이터</b>캠퍼스 분원&apos; 국회도서관에 19일 개소","국회도서관 분원은 기존 AI양재허브, 서울창업허브성수 분원과 함께 누구나 이용할 수 있어 상암 본원을 방문하기 어려운 시민들의 접근성을 높여 <b>데이터 분석가</b>들이 시간‧비용을 절감할 수 있는 좋은 기회가 될 것으로... ",http://www.enewstoday.co.kr/news/articleView.html?idxno=1591708,http://www.enewstoday.co.kr/news/articleView.html?idxno=1591708
1,&lt;뉴욕마켓워치&gt; 7월 FOMC 의사록 확인…주식·채권↓ 달러↑,이어 &quot;이런 위험으로 향후 분기들에 위원회가 정책 결정의 속도와 규모를 판단하는 데 <b>데이터</b> 의존적인... 코너스톤의 <b>분석가</b>인 션 반다지안은 &quot;이번 회의는 약간 감속된 소비자물가지수가 나오기 전에 개최됐고 몇몇... ,http://news.einfomax.co.kr/news/articleView.html?idxno=4229197,http://news.einfomax.co.kr/news/articleView.html?idxno=4229197
2,비트코인 횡보하는데…홀로 뛰는 &apos;강아지 코인&apos; [코인스캐너],온체인 <b>데이터</b> 분석업체 크립토퀀트는 &quot;최근 고래 투자자가 암호화폐거래소 지갑으로 비트코인을 대거... 코인데스크에 따르면 외환 트레이딩 업체 오안다의 모야 <b>분석가</b>는 &quot;월스트리트의 거의 모든 사람들이... ,https://www.hankyung.com/economy/article/202208178275i,https://n.news.naver.com/mnews/article/015/0004737749?sid=101
3,4차혁명 시대 우리 아이 직업은?… 읍면까지 ‘진로체험버스’ 찾아가요,"이들 수업에서는 <b>빅데이터 분석가</b>, 소셜네트워크서비스(SNS) 전문가, 인공지능 전문가, 드론 촬영 조종사, 크라우드펀딩 매니저, 원격진로코디네이터, 농촌디지털마케터 등 기존 학교들에서는 다루기 어려운 새로운... ",https://www.seoul.co.kr/news/newsView.php?id=20220817019005&wlog_tag3=naver,https://n.news.naver.com/mnews/article/081/0003294960?sid=102
4,[신직업·창직 찾기③ - 청소년·인문사회계열·이공계열] <b>빅데이터</b>전문가,"한국고용정보원 관계자는, &quot;<b>빅데이터</b>전문가는 기존 <b>데이터</b> 분석을 수행하던 <b>데이터분석가</b>(Data Analyst) 보다는 높은 수준의 전문성을 갖춰야 하며, 다수의 <b>빅데이터</b> 처리 경험을 통해 노하우를 축적해야 한다.&quot;면서... ",http://www.outsourcing.co.kr/news/articleView.html?idxno=94597,http://www.outsourcing.co.kr/news/articleView.html?idxno=94597
5,‘디지털 전환의 성공’을 위한 조건[이용수의 경영 전략],"예를 들어 제품 담당자, 프로세스 <b>분석가</b>, 디자이너, AI 모델러, <b>데이터</b> 엔지니어, IT 엔지니어가 필요한 프로젝트에서 특정 전문가는 외부에서 조달할 수 있지만 일하는 방식을 조직하고 협업을 통한 시너지를 체득하게 해... ",https://magazine.hankyung.com/business/article/202208104131b,https://n.news.naver.com/mnews/article/050/0000061697?sid=101
6,[크립토 주간 브리핑] 인플레 둔화 조짐에 우상향한 비트코인...3200만원 돌파,다만 외신에 따르면 가상자산 <b>데이터</b> 분석업체 글래스노드 <b>분석가</b>는 &quot;PoS 전환이 예상되는 9월까지는 이더리움 상승 베팅을 위한 콜옵션 주문이 쏟아졌으나 9월 이후 한달 동안에는 콜옵션 수요가 거의 없다.... ,https://www.techm.kr/news/articleView.html?idxno=100482,https://www.techm.kr/news/articleView.html?idxno=100482
7,"상권 분석? 우리 가게 손님, 어디에서 오는가부터 살펴라","지리정보<b>분석가</b> 송규봉이 말하는 알짜 상권 찾는 법 ● A급, B급 상권은 존재하지 않는다 ● 사업하는 이유와... 상권 <b>데이터</b>를 분석했다. 이는 전국을 대상으로 한 수천만 고객의 소비 패턴을 분석해 매출 예측 통계 모형을... ",https://shindonga.donga.com/3/all/13/3550450/1,https://n.news.naver.com/mnews/article/262/0000015789?sid=101
8,"슬라이커, 주말 해외 축구 프리뷰 제공","주말에 흥미롭게 지켜볼 만한 매치업들 중 <b>데이터</b>, 통계 등으로 접근했을 때 흥미로울 만한 경기들을 국내... 슬라이커의 분데스리가 패널인 전술<b>분석가</b> 칼엘식은 이번 주말 분데스리가에서는 라이프치히 쾰른 대결을... ",http://www.businesskorea.co.kr/news/articleView.html?idxno=98335,http://www.businesskorea.co.kr/news/articleView.html?idxno=98335
9,"경복대, 4차산업 실무인력 육성 위한 4개 학과 신설","기술전문분야로 수도권에 78%가 위치한 <b>빅데이터</b>와 인공지능 관련 기업에 <b>데이터</b> 기술자 또는 <b>분석가</b>, 개발자로 취업할수 있고, 응용분야인 <b>빅데이터</b>와 인공지능 기술을 도입한 금융, 유통, IT서비스 등의 산업분야 기업에... ",https://www.joongang.co.kr/article/25093683,https://n.news.naver.com/mnews/article/025/0003216073?sid=102
10,경복대학교는 2023년부터 사회적 트렌드를 반영한 4개 학과 신설,"기술전문분야로 수도권에 78%가 위치한 <b>빅데이터</b>와 인공지능 관련 기업에 <b>데이터</b> 기술자 또는 <b>분석가</b>, 개발자로 취업할수 있고, 응용분야인 <b>빅데이터</b>와 인공지능 기술을 도입한 금융, 유통, IT서비스 등의 산업분야... ",https://www.gukjenews.com/news/articleView.html?idxno=2527249,https://www.gukjenews.com/news/articleView.html?idxno=2527249
